,Orders
2020-03-17,451.0
2020-03-18,425.0
2020-03-19,356.0
2020-03-20,438.0
2020-03-21,384.0
2020-03-22,411.0
2020-03-23,348.0
2020-03-24,401.0
2020-03-25,418.0
2020-03-26,393.0
2020-03-27,341.0
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,39.0
2020-04-14,57.0
2020-04-15,60.0
2020-04-16,36.0
2020-04-17,68.0
2020-04-18,37.0
2020-04-19,38.0
2020-04-20,53.0
2020-04-21,64.0
2020-04-22,62.0
2020-04-23,59.0
2020-04-24,61.0
2020-04-25,59.0
2020-04-26,47.0
2020-04-27,74.0
2020-04-28,62.0
2020-04-29,76.0
2020-04-30,99.0
2020-05-01,55.0
2020-05-02,47.0
2020-05-03,57.0
2020-05-04,65.0
2020-05-05,71.0
2020-05-06,44.0
2020-05-07,87.0
2020-05-08,63.0
2020-05-09,50.0
2020-05-10,101.0
2020-05-11,83.0
2020-05-12,82.0
2020-05-13,88.0
2020-05-14,84.0
2020-05-15,104.0
2020-05-16,96.0
2020-05-17,114.0
2020-05-18,88.0
2020-05-19,117.0
2020-05-20,117.0
2020-05-21,94.0
2020-05-22,100.0
2020-05-23,111.0
2020-05-24,97.0
2020-05-25,118.0
2020-05-26,136.0
2020-05-27,159.0
2020-05-28,131.0
2020-05-29,115.0
2020-05-30,142.0
2020-05-31,157.0
2020-06-01,199.0
2020-06-02,165.0
2020-06-03,133.0
2020-06-04,152.0
2020-06-05,177.0
2020-06-06,179.0
2020-06-07,204.0
2020-06-08,196.0
2020-06-09,208.0
2020-06-10,265.0
2020-06-11,255.0
2020-06-12,180.0
2020-06-13,218.0
2020-06-14,239.0
2020-06-15,270.0
2020-06-16,242.0
2020-06-17,297.0
2020-06-18,283.0
2020-06-19,253.0
2020-06-20,339.0
2020-06-21,288.0
2020-06-22,422.0
2020-06-23,387.0
2020-06-24,377.0
2020-06-25,478.0
2020-06-26,478.0
2020-06-27,537.0
2020-06-28,656.0
2020-06-29,581.0
2020-06-30,705.0
2020-07-01,696.0
2020-07-02,713.0
2020-07-03,709.0
2020-07-04,817.0
2020-07-05,931.0
2020-07-06,788.0
2020-07-07,859.0
2020-07-08,895.0
2020-07-09,936.0
2020-07-10,926.0
2020-07-11,1096.0
2020-07-12,1108.0
2020-07-13,1008.0
2020-07-14,954.0
2020-07-15,966.0
2020-07-16,1041.0
2020-07-17,1041.0
2020-07-18,1065.0
2020-07-19,1231.0
2020-07-20,1185.0
2020-07-21,1096.0
2020-07-22,1228.0
2020-07-23,1184.0
2020-07-24,1288.0
2020-07-25,1267.0
2020-07-26,1276.0
2020-07-27,1270.0
2020-07-28,1171.0
2020-07-29,1281.0
2020-07-30,1297.0
2020-07-31,1310.0
2020-08-01,1245.0
2020-08-02,1229.0
2020-08-03,1221.0
2020-08-04,1304.0
2020-08-05,1267.0
2020-08-06,1313.0
2020-08-07,1385.0
2020-08-08,1356.0
2020-08-09,1530.0
2020-08-10,1350.0
2020-08-11,1366.0
2020-08-12,1449.0
2020-08-13,1457.0
2020-08-14,1525.0
2020-08-15,1513.0
2020-08-16,1594.0
2020-08-17,1510.0
2020-08-18,1472.0
2020-08-19,1469.0
2020-08-20,1404.0
2020-08-21,1496.0
2020-08-22,1502.0
2020-08-23,1584.0
2020-08-24,1494.0
2020-08-25,1505.0
2020-08-26,1475.0
2020-08-27,1522.0
2020-08-28,1630.0
2020-08-29,1537.0
2020-08-30,1433.0
2020-08-31,1212.0
2020-09-01,1040.0
2020-09-02,1005.0
2020-09-03,1185.0
2020-09-04,1144.0
2020-09-05,1113.0
2020-09-06,1178.0
2020-09-07,1156.0
2020-09-08,1078.0
2020-09-09,1070.0
2020-09-10,1189.0
2020-09-11,1220.0
2020-09-12,1339.0
2020-09-13,1361.0
2020-09-14,1219.0
2020-09-15,1182.0
2020-09-16,1174.0
2020-09-17,1193.0
2020-09-18,1250.0
2020-09-19,1198.0
2020-09-20,1251.0
2020-09-21,1064.0
2020-09-22,989.0
2020-09-23,1119.0
2020-09-24,1174.0
2020-09-25,1189.0
2020-09-26,1173.0
2020-09-27,1219.0
2020-09-28,1084.0
2020-09-29,994.0
2020-09-30,922.0
2020-10-01,916.0
2020-10-02,982.0
2020-10-03,924.0
2020-10-04,1085.0
2020-10-05,887.0
2020-10-06,907.0
2020-10-07,794.0
2020-10-08,840.0
2020-10-09,909.0
2020-10-10,952.0
2020-10-11,897.0
2020-10-12,916.0
2020-10-13,748.0
2020-10-14,742.0
2020-10-15,670.0
2020-10-16,844.0
2020-10-17,788.0
2020-10-18,921.0
2020-10-19,654.0
2020-10-20,733.0
2020-10-21,620.0
2020-10-22,597.0
2020-10-23,544.0
2020-10-24,674.0
2020-10-25,578.0
2020-10-26,625.0
2020-10-27,534.0
2020-10-28,624.0
2020-10-29,601.0
2020-10-30,684.0
2020-10-31,625.0
2020-11-01,675.0
2020-11-02,635.0
2020-11-03,541.0
2020-11-04,608.0
2020-11-05,538.0
2020-11-06,703.0
2020-11-07,648.0
2020-11-08,727.0
2020-11-09,488.0
2020-11-10,550.0
2020-11-11,523.0
2020-11-12,518.0
2020-11-13,491.0
2020-11-14,602.0
2020-11-15,592.0
2020-11-16,540.0
2020-11-17,474.0
2020-11-18,508.0
2020-11-19,452.0
2020-11-20,521.0
2020-11-21,456.0
2020-11-22,504.0
2020-11-23,428.0
2020-11-24,375.0
2020-11-25,369.0
2020-11-26,410.0
2020-11-27,479.0
2020-11-28,248.0
2020-11-29,513.0
2020-11-30,481.0
2020-12-01,421.0
2020-12-02,367.0
2020-12-03,387.0
2020-12-04,454.0
2020-12-05,461.0
2020-12-06,496.0
2020-12-07,397.0
2020-12-08,403.0
2020-12-09,354.0
2020-12-10,391.0
2020-12-11,487.0
2020-12-12,544.0
2020-12-13,518.0
2020-12-14,411.0
2020-12-15,405.0
2020-12-16,466.0
2020-12-17,409.0
2020-12-18,442.0
2020-12-19,418.0
2020-12-20,513.0
2020-12-21,358.0
2020-12-22,390.0
2020-12-23,428.0
2020-12-24,486.0
2020-12-25,485.0
2020-12-26,531.0
2020-12-27,580.0
2020-12-28,535.0
2020-12-29,644.0
2020-12-30,708.0
2020-12-31,398.0
2021-01-01,461.0
2021-01-02,802.0
2021-01-03,859.0
2021-01-04,957.0
2021-01-05,898.0
2021-01-06,872.0
2021-01-07,865.0
2021-01-08,793.0
2021-01-09,768.0
2021-01-10,741.0
2021-01-11,542.0
2021-01-12,524.0
2021-01-13,435.0
2021-01-14,457.0
2021-01-15,505.0
2021-01-16,549.0
2021-01-17,498.0
2021-01-18,436.0
2021-01-19,399.0
2021-01-20,510.0
2021-01-21,385.0
2021-01-22,516.0
2021-01-23,534.0
2021-01-24,603.0
2021-01-25,459.0
2021-01-26,488.0
2021-01-27,492.0
2021-01-28,499.0
2021-01-29,488.0
2021-01-30,604.0
2021-01-31,543.0
2021-02-01,489.0
2021-02-02,492.0
2021-02-03,490.0
2021-02-04,547.0
2021-02-05,596.0
2021-02-06,593.0
2021-02-07,571.0
2021-02-08,508.0
2021-02-09,444.0
2021-02-10,556.0
2021-02-11,532.0
2021-02-12,669.0
2021-02-13,575.0
2021-02-14,676.0
2021-02-15,514.0
2021-02-16,517.0
2021-02-17,600.0
2021-02-18,535.0
2021-02-19,591.0
2021-02-20,671.0
2021-02-21,736.0
2021-02-22,613.0
2021-02-23,647.0
2021-02-24,659.0
2021-02-25,597.0
2021-02-26,723.0
2021-02-27,712.0
2021-02-28,738.0
2021-03-01,601.0
2021-03-02,571.0
2021-03-03,500.0
2021-03-04,594.0
2021-03-05,689.0
2021-03-06,783.0
2021-03-07,781.0
2021-03-08,828.0
2021-03-09,654.0
2021-03-10,650.0
2021-03-11,572.0
2021-03-12,734.0
2021-03-13,605.0
2021-03-14,784.0
2021-03-15,612.0
2021-03-16,583.0
2021-03-17,640.0
2021-03-18,611.0
2021-03-19,736.0
2021-03-20,753.0
2021-03-21,752.0
2021-03-22,780.0
2021-03-23,614.0
2021-03-24,727.0
2021-03-25,827.0
2021-03-26,894.0
2021-03-27,917.0
2021-03-28,987.0
2021-03-29,831.0
2021-03-30,840.0
2021-03-31,763.0
2021-04-01,704.0
2021-04-02,843.0
2021-04-03,645.0
2021-04-04,857.0
2021-04-05,605.0
2021-04-06,667.0
2021-04-07,681.0
2021-04-08,720.0
2021-04-09,808.0
2021-04-10,723.0
2021-04-11,793.0
2021-04-12,696.0
2021-04-13,773.0
2021-04-14,735.0
2021-04-15,778.0
2021-04-16,805.0
2021-04-17,748.0
2021-04-18,1008.0
2021-04-19,716.0
2021-04-20,685.0
2021-04-21,722.0
2021-04-22,818.0
2021-04-23,871.0
2021-04-24,1007.0
2021-04-25,964.0
2021-04-26,831.0
2021-04-27,739.0
2021-04-28,800.0
2021-04-29,869.0
2021-04-30,1155.0
2021-05-01,1030.0
2021-05-02,1013.0
2021-05-03,1072.0
2021-05-04,1010.0
2021-05-05,1112.0
2021-05-06,993.0
2021-05-07,1073.0
2021-05-08,1128.0
2021-05-09,1066.0
2021-05-10,1069.0
2021-05-11,846.0
2021-05-12,871.0
2021-05-13,753.0
2021-05-14,880.0
2021-05-15,853.0
2021-05-16,873.0
2021-05-17,809.0
2021-05-18,807.0
2021-05-19,839.0
2021-05-20,893.0
2021-05-21,922.0
2021-05-22,923.0
2021-05-23,938.0
2021-05-24,856.0
2021-05-25,890.0
2021-05-26,843.0
2021-05-27,986.0
2021-05-28,1122.0
2021-05-29,978.0
2021-05-30,1020.0
2021-05-31,1043.0
2021-06-01,1105.0
2021-06-02,946.0
2021-06-03,1118.0
2021-06-04,1104.0
2021-06-05,1011.0
2021-06-06,1073.0
2021-06-07,1083.0
2021-06-08,1007.0
2021-06-09,1046.0
2021-06-10,1153.0
2021-06-11,1386.0
2021-06-12,1308.0
2021-06-13,1347.0
2021-06-14,1436.0
2021-06-15,1326.0
2021-06-16,1341.0
2021-06-17,1344.0
2021-06-18,1440.0
2021-06-19,1482.0
2021-06-20,1398.0
2021-06-21,1363.0
2021-06-22,1392.0
2021-06-23,1451.0
2021-06-24,1348.0
2021-06-25,1339.0
2021-06-26,1196.0
2021-06-27,1472.0
2021-06-28,1271.0
2021-06-29,1399.0
2021-06-30,1359.0
2021-07-01,1162.0
2021-07-02,1362.0
2021-07-03,1270.0
2021-07-04,1291.0
2021-07-05,1131.0
2021-07-06,1445.0
2021-07-07,1406.0
2021-07-08,1308.0
2021-07-09,1537.0
2021-07-10,1540.0
2021-07-11,1568.0
2021-07-12,1453.0
2021-07-13,1460.0
2021-07-14,1720.0
2021-07-15,1514.0
2021-07-16,1443.0
2021-07-17,1487.0
2021-07-18,1705.0
2021-07-19,1666.0
2021-07-20,1746.0
2021-07-21,1737.0
2021-07-22,1518.0
2021-07-23,1606.0
2021-07-24,1615.0
2021-07-25,1783.0
2021-07-26,1737.0
2021-07-27,1413.0
2021-07-28,1768.0
2021-07-29,1629.0
2021-07-30,1917.0
2021-07-31,1713.0
2021-08-01,1550.0
2021-08-02,1608.0
2021-08-03,1633.0
2021-08-04,1722.0
2021-08-05,1720.0
2021-08-06,1813.0
2021-08-07,1830.0
2021-08-08,1781.0
2021-08-09,1552.0
2021-08-10,1541.0
2021-08-11,1752.0
2021-08-12,1705.0
2021-08-13,1916.0
2021-08-14,1769.0
2021-08-15,1621.0
2021-08-16,1754.0
2021-08-17,1962.0
2021-08-18,1730.0
2021-08-19,1665.0
2021-08-20,1698.0
2021-08-21,1862.0
2021-08-22,1836.0
2021-08-23,1607.0
2021-08-24,1812.0
2021-08-25,1872.0
2021-08-26,1563.0
2021-08-27,1494.0
2021-08-28,1852.0
2021-08-29,1746.0
2021-08-30,1625.0
2021-08-31,1437.0
2021-09-01,1410.0
2021-09-02,1361.0
2021-09-03,1438.0
2021-09-04,1316.0
2021-09-05,1316.0
2021-09-06,1219.0
2021-09-07,1214.0
2021-09-08,1192.0
2021-09-09,1394.0
2021-09-10,1345.0
2021-09-11,1310.0
2021-09-12,1359.0
2021-09-13,1284.0
2021-09-14,1328.0
2021-09-15,1282.0
2021-09-16,1307.0
2021-09-17,1282.0
2021-09-18,1281.0
2021-09-19,1265.0
2021-09-20,1175.0
2021-09-21,1049.0
2021-09-22,1217.0
2021-09-23,1126.0
2021-09-24,1158.0
2021-09-25,1275.0
2021-09-26,1272.0
2021-09-27,1231.0
2021-09-28,918.0
2021-09-29,942.0
2021-09-30,972.0
2021-10-01,1015.0
2021-10-02,953.0
2021-10-03,831.0
2021-10-04,890.0
2021-10-05,906.0
2021-10-06,814.0
2021-10-07,901.0
2021-10-08,1001.0
2021-10-09,1122.0
2021-10-10,1061.0
2021-10-11,903.0
2021-10-12,906.0
2021-10-13,829.0
2021-10-14,885.0
2021-10-15,956.0
2021-10-16,941.0
2021-10-17,992.0
2021-10-18,763.0
2021-10-19,714.0
2021-10-20,733.0
2021-10-21,784.0
2021-10-22,744.0
2021-10-23,835.0
2021-10-24,762.0
2021-10-25,761.0
2021-10-26,732.0
2021-10-27,724.0
2021-10-28,713.0
2021-10-29,857.0
2021-10-30,665.0
2021-10-31,744.0
2021-11-01,683.0
2021-11-02,685.0
2021-11-03,647.0
2021-11-04,717.0
2021-11-05,679.0
2021-11-06,719.0
2021-11-07,757.0
2021-11-08,542.0
2021-11-09,510.0
2021-11-10,463.0
2021-11-11,482.0
2021-11-12,512.0
2021-11-13,591.0
2021-11-14,659.0
2021-11-15,477.0
2021-11-16,408.0
2021-11-17,516.0
2021-11-18,425.0
2021-11-19,504.0
2021-11-20,443.0
2021-11-21,603.0
2021-11-22,480.0
2021-11-23,409.0
2021-11-24,429.0
2021-11-25,494.0
2021-11-26,577.0
2021-11-27,507.0
2021-11-28,510.0
2021-11-29,503.0
2021-11-30,452.0
2021-12-01,552.0
2021-12-02,444.0
2021-12-03,568.0
2021-12-04,522.0
2021-12-05,483.0
2021-12-06,467.0
2021-12-07,439.0
2021-12-08,481.0
2021-12-09,390.0
2021-12-10,556.0
2021-12-11,612.0
2021-12-12,616.0
2021-12-13,497.0
2021-12-14,432.0
2021-12-15,516.0
2021-12-16,489.0
2021-12-17,526.0
2021-12-18,517.0
2021-12-19,393.0
2021-12-20,465.0
2021-12-21,450.0
2021-12-22,452.0
2021-12-23,502.0
2021-12-24,585.0
2021-12-25,562.0
2021-12-26,617.0
2021-12-27,567.0
2021-12-28,676.0
2021-12-29,697.0
2021-12-30,686.0
2021-12-31,433.0
2022-01-01,388.0
2022-01-02,722.0
2022-01-03,756.0
2022-01-04,677.0
2022-01-05,919.0
2022-01-06,847.0
2022-01-07,837.0
2022-01-08,777.0
2022-01-09,781.0
2022-01-10,632.0
2022-01-11,531.0
2022-01-12,496.0
2022-01-13,537.0
2022-01-14,511.0
2022-01-15,514.0
2022-01-16,624.0
2022-01-17,529.0
2022-01-18,493.0
2022-01-19,524.0
2022-01-20,502.0
2022-01-21,558.0
2022-01-22,455.0
2022-01-23,514.0
2022-01-24,488.0
2022-01-25,484.0
2022-01-26,424.0
2022-01-27,501.0
2022-01-28,566.0
2022-01-29,561.0
2022-01-30,607.0
2022-01-31,470.0
2022-02-01,487.0
2022-02-02,524.0
2022-02-03,535.0
2022-02-04,540.0
2022-02-05,555.0
2022-02-06,581.0
2022-02-07,510.0
2022-02-08,462.0
2022-02-09,441.0
2022-02-10,542.0
2022-02-11,594.0
2022-02-12,674.0
2022-02-13,728.0
2022-02-14,559.0
2022-02-15,572.0
2022-02-16,559.0
2022-02-17,524.0
2022-02-18,606.0
2022-02-19,569.0
2022-02-20,727.0
2022-02-21,513.0
2022-02-22,595.0
2022-02-23,580.0
2022-02-24,738.0
2022-02-25,692.0
2022-02-26,764.0
2022-02-27,752.0
2022-02-28,621.0
2022-03-01,539.0
2022-03-02,731.0
2022-03-03,707.0
2022-03-04,758.0
2022-03-05,814.0
2022-03-06,820.0
2022-03-07,791.0
2022-03-08,813.0
2022-03-09,750.0
2022-03-10,768.0
2022-03-11,706.0
2022-03-12,807.0
2022-03-13,939.0
2022-03-14,731.0
2022-03-15,694.0
2022-03-16,754.0
2022-03-17,724.0
2022-03-18,834.0
2022-03-19,821.0
2022-03-20,952.0
2022-03-21,791.0
2022-03-22,683.0
2022-03-23,943.0
2022-03-24,787.0
2022-03-25,1025.0
2022-03-26,911.0
2022-03-27,877.0
2022-03-28,870.0
2022-03-29,879.0
2022-03-30,790.0
2022-03-31,936.0
2022-04-01,855.0
2022-04-02,935.0
2022-04-03,1124.0
2022-04-04,796.0
2022-04-05,730.0
2022-04-06,704.0
2022-04-07,769.0
2022-04-08,807.0
2022-04-09,924.0
2022-04-10,981.0
2022-04-11,882.0
2022-04-12,750.0
2022-04-13,770.0
2022-04-14,810.0
2022-04-15,942.0
2022-04-16,1105.0
2022-04-17,1089.0
2022-04-18,793.0
2022-04-19,770.0
2022-04-20,763.0
2022-04-21,860.0
2022-04-22,843.0
2022-04-23,1042.0
2022-04-24,1000.0
2022-04-25,910.0
2022-04-26,878.0
2022-04-27,959.0
2022-04-28,943.0
2022-04-29,1070.0
2022-04-30,1304.0
2022-05-01,1201.0
2022-05-02,1098.0
2022-05-03,1193.0
2022-05-04,1025.0
2022-05-05,1025.0
2022-05-06,1031.0
2022-05-07,1159.0
2022-05-08,1324.0
2022-05-09,1195.0
2022-05-10,1170.0
2022-05-11,1008.0
2022-05-12,1019.0
2022-05-13,1180.0
2022-05-14,1196.0
2022-05-15,1242.0
2022-05-16,1083.0
2022-05-17,1019.0
2022-05-18,1064.0
2022-05-19,1047.0
2022-05-20,1134.0
2022-05-21,1163.0
2022-05-22,1299.0
2022-05-23,1132.0
2022-05-24,1139.0
2022-05-25,1193.0
2022-05-26,1138.0
2022-05-27,1324.0
2022-05-28,1413.0
2022-05-29,1487.0
2022-05-30,1281.0
2022-05-31,1287.0
2022-06-01,1283.0
2022-06-02,1259.0
2022-06-03,1385.0
2022-06-04,1504.0
2022-06-05,1459.0
2022-06-06,1355.0
2022-06-07,1317.0
2022-06-08,1450.0
2022-06-09,1431.0
2022-06-10,1548.0
2022-06-11,1731.0
2022-06-12,1681.0
2022-06-13,1771.0
2022-06-14,1480.0
2022-06-15,1465.0
2022-06-16,1569.0
2022-06-17,1273.0
2022-06-18,1734.0
2022-06-19,1813.0
2022-06-20,1746.0
2022-06-21,1606.0
2022-06-22,1599.0
2022-06-23,1827.0
2022-06-24,1870.0
2022-06-25,1849.0
2022-06-26,1812.0
2022-06-27,1754.0
2022-06-28,1652.0
2022-06-29,1645.0
2022-06-30,1827.0
2022-07-01,1834.0
2022-07-02,1844.0
2022-07-03,1852.0
2022-07-04,1757.0
2022-07-05,1674.0
2022-07-06,1903.0
2022-07-07,1810.0
2022-07-08,1527.0
2022-07-09,1872.0
2022-07-10,1896.0
2022-07-11,1818.0
2022-07-12,1659.0
2022-07-13,1858.0
2022-07-14,1878.0
2022-07-15,1988.0
2022-07-16,1681.0
2022-07-17,2012.0
2022-07-18,1895.0
2022-07-19,1849.0
2022-07-20,1922.0
2022-07-21,1803.0
2022-07-22,1781.0
2022-07-23,1824.0
2022-07-24,1696.0
2022-07-25,1916.0
2022-07-26,1654.0
2022-07-27,1886.0
2022-07-28,1755.0
2022-07-29,2017.0
2022-07-30,1980.0
2022-07-31,1978.0
2022-08-01,1959.0
2022-08-02,1814.0
2022-08-03,1792.0
2022-08-04,2097.0
2022-08-05,1644.0
2022-08-06,1946.0
2022-08-07,2133.0
2022-08-08,1913.0
2022-08-09,1990.0
2022-08-10,1954.0
2022-08-11,2023.0
2022-08-12,2183.0
2022-08-13,2007.0
2022-08-14,2071.0
2022-08-15,1653.0
2022-08-16,1727.0
2022-08-17,2046.0
2022-08-18,1901.0
2022-08-19,1901.0
2022-08-20,2204.0
2022-08-21,2160.0
2022-08-22,2101.0
2022-08-23,1997.0
2022-08-24,1880.0
2022-08-25,2240.0
2022-08-26,2005.0
2022-08-27,2090.0
2022-08-28,1795.0
2022-08-29,1926.0
2022-08-30,1910.0
2022-08-31,1885.0
2022-09-01,1697.0
2022-09-02,1617.0
2022-09-03,1780.0
2022-09-04,1667.0
2022-09-05,1539.0
2022-09-06,1644.0
2022-09-07,1637.0
2022-09-08,1653.0
2022-09-09,1811.0
2022-09-10,1697.0
2022-09-11,1837.0
2022-09-12,1701.0
2022-09-13,1658.0
2022-09-14,1592.0
2022-09-15,1694.0
2022-09-16,1671.0
2022-09-17,1769.0
2022-09-18,1768.0
2022-09-19,1626.0
2022-09-20,1471.0
2022-09-21,1594.0
2022-09-22,1511.0
2022-09-23,1504.0
2022-09-24,1496.0
2022-09-25,1516.0
2022-09-26,1348.0
2022-09-27,1148.0
2022-09-28,1190.0
2022-09-29,1330.0
2022-09-30,1337.0
2022-10-01,1204.0
2022-10-02,1175.0
2022-10-03,1143.0
2022-10-04,1122.0
2022-10-05,1085.0
2022-10-06,958.0
2022-10-07,1139.0
2022-10-08,1172.0
2022-10-09,1125.0
2022-10-10,997.0
2022-10-11,895.0
2022-10-12,997.0
2022-10-13,1042.0
2022-10-14,979.0
2022-10-15,1160.0
2022-10-16,1108.0
2022-10-17,1001.0
2022-10-18,914.0
2022-10-19,914.0
2022-10-20,912.0
2022-10-21,962.0
2022-10-22,1003.0
